date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:41	220281/220281	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:42%20GMT	https://digxbit.xyz/img/photo1554774853b415df9eeb92.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1554774853b415df9eeb92.jpg	(from https://digxbit.xyz/)
00:45:41	25005/25005	---M-Z	200	added ('OK')	text/html	etag:%2261ad-687204fd-eda232509fb25d80;gz%22	https://digxbit.xyz/themelist3.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist3.html	(from https://digxbit.xyz/)
00:45:42	220571/220571	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:43%20GMT	https://digxbit.xyz/img/photo162674593138245d780f1bd98.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo162674593138245d780f1bd98.jpg	(from https://digxbit.xyz/)
00:45:43	22303/22303	---M-Z	200	added ('OK')	text/html	etag:%22571f-687204fd-d23ae533862a8a8;gz%22	https://digxbit.xyz/themelist4.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist4.html	(from https://digxbit.xyz/)
00:45:44	303634/303634	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:45%20GMT	https://digxbit.xyz/img/photo1650923500748eee80ee6e7d1.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1650923500748eee80ee6e7d1.jpg	(from https://digxbit.xyz/)
00:45:45	11878/11878	---M-Z	200	added ('OK')	text/html	etag:%222e66-687204fd-5d657784c0745027;gz%22	https://digxbit.xyz/themelist5.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist5.html	(from https://digxbit.xyz/)
00:45:46	266220/266220	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:47%20GMT	https://digxbit.xyz/img/photo1692935794713a0f9304749a5.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo1692935794713a0f9304749a5.jpg	(from https://digxbit.xyz/)
00:45:46	11563/11563	---M-Z	200	added ('OK')	text/html	etag:%222d2b-687204fd-358e71ab19adee8f;gz%22	https://digxbit.xyz/themelist6.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist6.html	(from https://digxbit.xyz/)
00:45:47	112610/112610	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Jul%202025%2019:15:48%20GMT	https://digxbit.xyz/img/photo17265921398318c9208590372.jpg	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/img/photo17265921398318c9208590372.jpg	(from https://digxbit.xyz/)
00:45:48	16372/16372	---M-Z	200	added ('OK')	text/html	etag:%223ff4-687204fd-ebe8cb45e62e80b6;gz%22	https://digxbit.xyz/themelist7.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/themelist7.html	(from https://digxbit.xyz/)
00:45:48	27613/27613	---M-Z	200	added ('OK')	text/html	etag:%226bdd-687204fd-4ed87bb68c995bdc;gz%22	https://digxbit.xyz/privacy_policy.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/privacy_policy.html	(from https://digxbit.xyz/)
00:45:49	33906/33906	---M-Z	200	added ('OK')	text/html	etag:%228472-687204fd-1c6d73071998e366;gz%22	https://digxbit.xyz/terms_of_use.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/terms_of_use.html	(from https://digxbit.xyz/)
00:45:50	12526/12526	---M-Z	200	added ('OK')	text/html	etag:%2230ee-687204fd-1dee81a50c123e9e;gz%22	https://digxbit.xyz/cookie_policy.html	C:/My%20Web%20Sites/efewfwe/digxbit.xyz/cookie_policy.html	(from https://digxbit.xyz/)
